,year,LISTA,VOTI_LISTA,VOTANTI,PERCENTUALE,check
0,2022,FRATELLI D'ITALIA CON GIORGIA MELONI,7096109.0,27060878.0,26.22,centroDestra
1,2022,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,5126682.0,27060878.0,18.94,centroSinistra
2,2022,MOVIMENTO 5 STELLE,4175676.0,27060878.0,15.43,centroSinistra
3,2022,LEGA PER SALVINI PREMIER,2392501.0,27060878.0,8.84,centroDestra
4,2022,FORZA ITALIA,2217383.0,27060878.0,8.19,centroDestra
5,2022,AZIONE - ITALIA VIVA - CALENDA,2064895.0,27060878.0,7.63,centroPuro
6,2022,ALLEANZA VERDI E SINISTRA,973215.0,27060878.0,3.6,centroSinistra
7,2022, +EUROPA,760009.0,27060878.0,2.81,altro
8,2022,ITALEXIT PER L'ITALIA,516310.0,27060878.0,1.91,centroDestra
9,2022,UNIONE POPOLARE CON DE MAGISTRIS,378880.0,27060878.0,1.4,altro
10,2022,ITALIA SOVRANA E POPOLARE,336531.0,27060878.0,1.24,altro
11,2022,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,248140.0,27060878.0,0.92,altro
12,2022,SUD CHIAMA NORD,208613.0,27060878.0,0.77,altro
13,2022,VITA,192021.0,27060878.0,0.71,altro
14,2022,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,161674.0,27060878.0,0.6,altro
15,2022,Sï¿½DTIROLER VOLKSPARTEI (SVP) - PATT,106092.0,27060878.0,0.39,altro
16,2022,MASTELLA NOI DI CENTRO EUROPEISTI,43712.0,27060878.0,0.16,altro
17,2022,PARTITO COMUNISTA ITALIANO,23736.0,27060878.0,0.09,altro
18,2022,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,20082.0,27060878.0,0.07,altro
19,2022,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,15814.0,27060878.0,0.06,altro
20,2022,PARTITO DELLA FOLLIA CREATIVA,1304.0,27060878.0,0.0,altro
21,2022,FORZA DEL POPOLO,763.0,27060878.0,0.0,altro
22,2022,FREE,736.0,27060878.0,0.0,altro
23,2018,MOVIMENTO 5 STELLE,10237523.0,31582538.0,32.42,centroSinistra
24,2018,PARTITO DEMOCRATICO,5888232.0,31582538.0,18.64,centroSinistra
25,2018,LEGA,5576270.0,31582538.0,17.66,centroDestra
26,2018,FORZA ITALIA,4498106.0,31582538.0,14.24,centroDestra
27,2018,FRATELLI D'ITALIA CON GIORGIA MELONI,1398312.0,31582538.0,4.43,centroDestra
28,2018,LIBERI E UGUALI,1032713.0,31582538.0,3.27,centroSinistra
29,2018,+EUROPA,803621.0,31582538.0,2.54,centroSinistra
30,2018,NOI CON L'ITALIA - UDC,417702.0,31582538.0,1.32,altro
