"Country or Area","Year(s)","Variant","Value"
"Italy","2101","Medium",""
"Italy","2100","Medium","1.5223"
"Italy","2099","Medium","1.523"
"Italy","2098","Medium","1.5184"
"Italy","2097","Medium","1.5157"
"Italy","2096","Medium","1.5131"
"Italy","2095","Medium","1.5112"
"Italy","2094","Medium","1.5102"
"Italy","2093","Medium","1.5121"
"Italy","2092","Medium","1.5075"
"Italy","2091","Medium","1.5124"
"Italy","2090","Medium","1.5136"
"Italy","2089","Medium","1.5117"
"Italy","2088","Medium","1.5115"
"Italy","2087","Medium","1.5108"
"Italy","2086","Medium","1.5135"
"Italy","2085","Medium","1.5102"
"Italy","2084","Medium","1.5149"
"Italy","2083","Medium","1.511"
"Italy","2082","Medium","1.5046"
"Italy","2081","Medium","1.5011"
"Italy","2080","Medium","1.5042"
"Italy","2079","Medium","1.5016"
"Italy","2078","Medium","1.4929"
"Italy","2077","Medium","1.4936"
"Italy","2076","Medium","1.4892"
"Italy","2075","Medium","1.4966"
"Italy","2074","Medium","1.4907"
"Italy","2073","Medium","1.4837"
"Italy","2072","Medium","1.4841"
"Italy","2071","Medium","1.4831"
"Italy","2070","Medium","1.4799"
"Italy","2069","Medium","1.4754"
"Italy","2068","Medium","1.479"
"Italy","2067","Medium","1.471"
"Italy","2066","Medium","1.4727"
"Italy","2065","Medium","1.4709"
"Italy","2064","Medium","1.471"
"Italy","2063","Medium","1.4709"
"Italy","2062","Medium","1.4662"
"Italy","2061","Medium","1.4683"
"Italy","2060","Medium","1.4673"
"Italy","2059","Medium","1.4603"
"Italy","2058","Medium","1.4579"
"Italy","2057","Medium","1.4552"
"Italy","2056","Medium","1.4539"
"Italy","2055","Medium","1.4563"
"Italy","2054","Medium","1.4504"
"Italy","2053","Medium","1.4534"
"Italy","2052","Medium","1.4483"
"Italy","2051","Medium","1.4472"
"Italy","2050","Medium","1.4407"
"Italy","2049","Medium","1.443"
"Italy","2048","Medium","1.4391"
"Italy","2047","Medium","1.4369"
"Italy","2046","Medium","1.4288"
"Italy","2045","Medium","1.4234"
"Italy","2044","Medium","1.4164"
"Italy","2043","Medium","1.4186"
"Italy","2042","Medium","1.4089"
"Italy","2041","Medium","1.4047"
"Italy","2040","Medium","1.4033"
"Italy","2039","Medium","1.396"
"Italy","2038","Medium","1.397"
"Italy","2037","Medium","1.3901"
"Italy","2036","Medium","1.3837"
"Italy","2035","Medium","1.3816"
"Italy","2034","Medium","1.3808"
"Italy","2033","Medium","1.3754"
"Italy","2032","Medium","1.3713"
"Italy","2031","Medium","1.359"
"Italy","2030","Medium","1.3545"
"Italy","2029","Medium","1.3426"
"Italy","2028","Medium","1.336"
"Italy","2027","Medium","1.3369"
"Italy","2026","Medium","1.324"
"Italy","2025","Medium","1.3163"
"Italy","2024","Medium","1.307"
"Italy","2023","Medium","1.3012"
"Italy","2022","Medium","1.2898"
"Italy","2021","Medium","1.2825"
"Italy","2020","Medium","1.2607"
"Italy","2019","Medium","1.2647"
"Italy","2018","Medium","1.2865"
"Italy","2017","Medium","1.3194"
"Italy","2016","Medium","1.3379"
"Italy","2015","Medium","1.347"
"Italy","2014","Medium","1.3663"
"Italy","2013","Medium","1.3844"
"Italy","2012","Medium","1.4235"
"Italy","2011","Medium","1.434"
"Italy","2010","Medium","1.4503"
"Italy","2009","Medium","1.4459"
"Italy","2008","Medium","1.4413"
"Italy","2007","Medium","1.3989"
"Italy","2006","Medium","1.3706"
"Italy","2005","Medium","1.3426"
"Italy","2004","Medium","1.3377"
"Italy","2003","Medium","1.2888"
"Italy","2002","Medium","1.2679"
"Italy","2001","Medium","1.2509"
"Italy","2000","Medium","1.2542"
"Italy","1999","Medium","1.2372"
"Italy","1998","Medium","1.214"
"Italy","1997","Medium","1.2125"
"Italy","1996","Medium","1.1979"
"Italy","1995","Medium","1.1924"
"Italy","1994","Medium","1.2158"
"Italy","1993","Medium","1.2511"
"Italy","1992","Medium","1.2978"
"Italy","1991","Medium","1.3051"
"Italy","1990","Medium","1.3321"
"Italy","1989","Medium","1.3286"
"Italy","1988","Medium","1.3568"
"Italy","1987","Medium","1.3312"
"Italy","1986","Medium","1.3526"
"Italy","1985","Medium","1.4151"
"Italy","1984","Medium","1.4581"
"Italy","1983","Medium","1.5059"
"Italy","1982","Medium","1.5598"
"Italy","1981","Medium","1.5779"
"Italy","1980","Medium","1.6398"
"Italy","1979","Medium","1.7317"
"Italy","1978","Medium","1.8403"
"Italy","1977","Medium","1.9348"
"Italy","1976","Medium","2.044"
"Italy","1975","Medium","2.1684"
"Italy","1974","Medium","2.2858"
"Italy","1973","Medium","2.3099"
"Italy","1972","Medium","2.3489"
"Italy","1971","Medium","2.3973"
"Italy","1970","Medium","2.3901"
"Italy","1969","Medium","2.4646"
"Italy","1968","Medium","2.4922"
"Italy","1967","Medium","2.5044"
"Italy","1966","Medium","2.5782"
"Italy","1965","Medium","2.6026"
"Italy","1964","Medium","2.6526"
"Italy","1963","Medium","2.5138"
"Italy","1962","Medium","2.4537"
"Italy","1961","Medium","2.4212"
"Italy","1960","Medium","2.3782"
"Italy","1959","Medium","2.3803"
"Italy","1958","Medium","2.307"
"Italy","1957","Medium","2.3292"
"Italy","1956","Medium","2.3235"
"Italy","1955","Medium","2.3188"
"Italy","1954","Medium","2.3261"
"Italy","1953","Medium","2.272"
"Italy","1952","Medium","2.3074"
"Italy","1951","Medium","2.3772"
"Italy","1950","Medium","2.5273"

