Informazioni cronologiche,Punteggio,Ti senti rappresentato dalla Politica attuale?,Potresti descriverci il motivo della tua risposta? (Facoltativo)
19/11/2022 11.22.53,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 11.23.43,,"No, Non mi sento rappresentato",
19/11/2022 11.25.28,,"No, Non mi sento rappresentato",
19/11/2022 11.26.47,,Non seguo la politica,Penso che le scelte politiche non influiscano sulla mia vita quotidiana
19/11/2022 11.27.23,,"Abbastanza,  Non mi sento pienamente rappresentato",Nessun partito importante ha una posizione davvero di sinistra sull'economia 
19/11/2022 11.27.29,,"No, Non mi sento rappresentato","Non mi sento rappresentato in quando la politica attuale non mi sembra stia dando spazio ai giovani e a ciò che è di loro interesse, in più anche per quanto riguarda la discriminazione verso la comunità LGBTQ e altre cose "
19/11/2022 11.27.56,,"No, Non mi sento rappresentato","Perché non vedo un diretto ritorno delle decisioni politiche sulla vita di tutti i giorni. In 10 anni son cambiati diversi governi, eppure non riesco a ricordare qualcosa di davvero impattante deciso politicamente e con diretto ritorno sulla vita quotidiana di una persona comune (studente nel mio caso), decisioni COVID escluse. "
19/11/2022 11.28.05,,Non seguo la politica,
19/11/2022 11.29.26,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 11.34.08,,"No, Non mi sento rappresentato",
19/11/2022 11.35.38,,Non seguo la politica,
19/11/2022 11.36.14,,"No, Non mi sento rappresentato",Nessun partito con le mie idee politiche 
19/11/2022 11.37.27,,"No, Non mi sento rappresentato",
19/11/2022 11.37.37,,"No, Non mi sento rappresentato",
19/11/2022 11.40.45,,"No, Non mi sento rappresentato",
19/11/2022 11.41.48,,"Abbastanza,  Non mi sento pienamente rappresentato",Il partito da cui mi sento più rappresentato non tratta alcuni temi a me cari 
19/11/2022 11.42.39,,"No, Non mi sento rappresentato",
19/11/2022 11.42.58,,"No, Non mi sento rappresentato",
19/11/2022 11.43.55,,"No, Non mi sento rappresentato",È una politica che non guarda minimamente all’interesse o ai problemi dei giovani. Soprattutto l’Università viene spesso posta in secondo piano o ignorata. 
19/11/2022 11.46.21,,"No, Non mi sento rappresentato",
19/11/2022 11.48.48,,"No, Non mi sento rappresentato","Troppo populismo e pochi fatti. Basta vedere i risultati dell'ultima elezione quanto poco rispecchiano gli ideali dei giovani. Non ho visto la voglia o il tentativo di mettere al primo posto il futuro del Paese e dei giovani, ma solo interessi personali e obiettivi futili (vedi quanta attenzione hanno dedicato per la questione rave e sbarco dei migranti, invece che pensare a strategie per risanare un minimo il Paese e dare uno sputo di speranza ai giovani dopo il periodo covid e conflitto russo-ucraino)."
19/11/2022 11.49.27,,"No, Non mi sento rappresentato",Incorrenza e scarsa visione 
19/11/2022 11.50.56,,"No, Non mi sento rappresentato",Mbare non si inculano i giovani manco a pregare
19/11/2022 11.51.05,,"No, Non mi sento rappresentato",Non mi rispecchio in questa classe politica che non prende in considerazione il futuro dei giovani e dell'Italia come Paese 
19/11/2022 11.55.29,,"No, Non mi sento rappresentato",I miei ideali politici non trovano corrispondenza nelle proposte politiche. Ciò che davvero serve (anche in ottica ambientale) è un radicale cambiamento della struttura economica-sociale-politica in un’ottica anti-capitalista e secondo un principio di EQUITÀ. Il tutto distantissimo da ogni intenzione politica nel quadro italiano 
19/11/2022 11.57.12,,"Abbastanza,  Non mi sento pienamente rappresentato","Esistono partiti che rappresentano abbastanza bene le miei idee, ma vorrei una classe dirigente più capace e più radicalità su certi temi di progresso sociale.
La legge elettorale è pessima e non mi fa sentire rappresentato da chi voto: voglio poter esprimere la mia preferenza"
19/11/2022 12.02.40,,"No, Non mi sento rappresentato",
19/11/2022 12.03.02,,"No, Non mi sento rappresentato",
19/11/2022 12.03.24,,"Abbastanza,  Non mi sento pienamente rappresentato","I nostri rappresentanti sono lontani dal territorio e dalle persone che lo vivono, per loro è un mero bacino elettorale. Ciò si è acutizzato con il taglio dei parlamentari che ha tolto a molti territori il proprio rappresentante. "
19/11/2022 12.06.00,,"Abbastanza,  Non mi sento pienamente rappresentato",Età media dei rappresentanti in parlamento e legge elettorale che impedisce una piena scelta al 100%
19/11/2022 12.08.59,,"Abbastanza,  Non mi sento pienamente rappresentato","La mia risposta in parte è riferita al governo attuale, dal quale non mi sento per nulla rappresentato, sia in termini di “politica per i giovani” sia per le scelte politiche in generale. 
Trovo che alcuni partiti incomincino a proporre iniziative/soluzioni interessanti ma questa è solo una minoranza a cui alla maggioranza degli italiani non interessa. 
Quindi per dar senso alla mia risposta trovo che la politica rispecchi le volontà del paese, le cui volontà non rispecchiano le mie,  soltanto un cambio generazionale (suppongo) potrà far sì che possa dire di sentirmi rappresentato dalla classe politica. "
19/11/2022 12.10.22,,"Abbastanza,  Non mi sento pienamente rappresentato",
