year,LISTA,VOTI_LISTA,VOTANTI,PERCENTUALE
2022,FRATELLI D'ITALIA CON GIORGIA MELONI,7096109.0,27060878.0,26.22
2022,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,5126682.0,27060878.0,18.94
2022,MOVIMENTO 5 STELLE,4175676.0,27060878.0,15.43
2022,LEGA PER SALVINI PREMIER,2392501.0,27060878.0,8.84
2022,FORZA ITALIA,2217383.0,27060878.0,8.19
2022,AZIONE - ITALIA VIVA - CALENDA,2064895.0,27060878.0,7.63
2022,ALLEANZA VERDI E SINISTRA,973215.0,27060878.0,3.6
2022, +EUROPA,760009.0,27060878.0,2.81
2022,ITALEXIT PER L'ITALIA,516310.0,27060878.0,1.91
2022,UNIONE POPOLARE CON DE MAGISTRIS,378880.0,27060878.0,1.4
2022,ITALIA SOVRANA E POPOLARE,336531.0,27060878.0,1.24
2022,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,248140.0,27060878.0,0.92
2022,SUD CHIAMA NORD,208613.0,27060878.0,0.77
2022,VITA,192021.0,27060878.0,0.71
2022,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,161674.0,27060878.0,0.6
2022,Sï¿½DTIROLER VOLKSPARTEI (SVP) - PATT,106092.0,27060878.0,0.39
2022,MASTELLA NOI DI CENTRO EUROPEISTI,43712.0,27060878.0,0.16
2022,PARTITO COMUNISTA ITALIANO,23736.0,27060878.0,0.09
2022,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,20082.0,27060878.0,0.07
2022,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,15814.0,27060878.0,0.06
2022,PARTITO DELLA FOLLIA CREATIVA,1304.0,27060878.0,0.0
2022,FORZA DEL POPOLO,763.0,27060878.0,0.0
2022,FREE,736.0,27060878.0,0.0
2018,MOVIMENTO 5 STELLE,10237523.0,31582538.0,32.42
2018,PARTITO DEMOCRATICO,5888232.0,31582538.0,18.64
2018,LEGA,5576270.0,31582538.0,17.66
2018,FORZA ITALIA,4498106.0,31582538.0,14.24
2018,FRATELLI D'ITALIA CON GIORGIA MELONI,1398312.0,31582538.0,4.43
2018,LIBERI E UGUALI,1032713.0,31582538.0,3.27
2018,+EUROPA,803621.0,31582538.0,2.54
2018,NOI CON L'ITALIA - UDC,417702.0,31582538.0,1.32
2018,POTERE AL POPOLO!,349508.0,31582538.0,1.11
2018,CASAPOUND ITALIA,294734.0,31582538.0,0.93
2018,IL POPOLO DELLA FAMIGLIA,206346.0,31582538.0,0.65
2018,ITALIA EUROPA INSIEME,180980.0,31582538.0,0.57
2018,CIVICA POPOLARE LORENZIN,168269.0,31582538.0,0.53
2018,SVP - PATT,126769.0,31582538.0,0.4
2018,ITALIA AGLI ITALIANI,119980.0,31582538.0,0.38
2018,PARTITO COMUNISTA,102030.0,31582538.0,0.32
2018,PARTITO VALORE UMANO,44610.0,31582538.0,0.14
2018,10 VOLTE MEGLIO,33225.0,31582538.0,0.11
2018,PER UNA SINISTRA RIVOLUZIONARIA,27138.0,31582538.0,0.09
2018,PARTITO REPUBBLICANO ITALIANO - ALA,18866.0,31582538.0,0.06
2018,GRANDE NORD,18556.0,31582538.0,0.06
2018,AUTODETERMINATZIONE,18237.0,31582538.0,0.06
2018,LISTA DEL POPOLO PER LA COSTITUZIONE,9088.0,31582538.0,0.03
2018,PATTO PER L'AUTONOMIA,5871.0,31582538.0,0.02
2018,BLOCCO NAZIONALE PER LE LIBERTA',3376.0,31582538.0,0.01
2018,SIAMO,1298.0,31582538.0,0.0
2018,RINASCIMENTO MIR,676.0,31582538.0,0.0
2018,ITALIA NEL CUORE,502.0,31582538.0,0.0
2018,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,0.0,31582538.0,0.0
2018,PD-UV-UVP-EPAV,0.0,31582538.0,0.0
2018,POUR TOUS PER TUTTI PE TCHEUT,0.0,31582538.0,0.0
2018,RISPOSTA CIVICA,0.0,31582538.0,0.0
2013,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8689584.0,34002523.0,25.56
2013,PARTITO DEMOCRATICO,8644542.0,34002523.0,25.42
2013,IL POPOLO DELLA LIBERTA',7332829.0,34002523.0,21.57
2013,SCELTA CIVICA CON MONTI PER L'ITALIA,2824064.0,34002523.0,8.31
2013,LEGA NORD,1390153.0,34002523.0,4.09
2013,SINISTRA ECOLOGIA LIBERTA',1089562.0,34002523.0,3.2
2013,RIVOLUZIONE CIVILE,765194.0,34002523.0,2.25
2013,FRATELLI D'ITALIA,665835.0,34002523.0,1.96
2013,UNIONE DI CENTRO,608205.0,34002523.0,1.79
2013,FARE PER FERMARE IL DECLINO,380488.0,34002523.0,1.12
2013,LA DESTRA,219671.0,34002523.0,0.65
2013,CENTRO DEMOCRATICO,167071.0,34002523.0,0.49
2013,FUTURO E LIBERTA',159415.0,34002523.0,0.47
2013,GRANDE SUD - MPA,148549.0,34002523.0,0.44
2013,SVP,146804.0,34002523.0,0.43
2013,PARTITO COMUNISTA DEI LAVORATORI,89991.0,34002523.0,0.26
2013,FORZA NUOVA,89802.0,34002523.0,0.26
2013,MIR - MODERATI IN RIVOLUZIONE,81978.0,34002523.0,0.24
2013,LISTA AMNISTIA GIUSTIZIA LIBERTA',64713.0,34002523.0,0.19
2013,PARTITO PENSIONATI,54857.0,34002523.0,0.16
2013,DIE FREIHEITLICHEN,48317.0,34002523.0,0.14
2013,CASAPOUND ITALIA,47689.0,34002523.0,0.14
2013,FIAMMA TRICOLORE,44744.0,34002523.0,0.13
2013,IO AMO L'ITALIA,42527.0,34002523.0,0.13
2013,INDIPENDENZA VENETA,33274.0,34002523.0,0.1
2013,LIBERALI PER L'ITALIA - PLI,28025.0,34002523.0,0.08
2013,INTESA POPOLARE,25632.0,34002523.0,0.08
2013,PS D'AZ.,18585.0,34002523.0,0.05
2013,LG.VENETA REPUBBLICA,15838.0,34002523.0,0.05
2013,VOTO DI PROTESTA,12745.0,34002523.0,0.04
2013,VENETO STATO,11378.0,34002523.0,0.03
2013,RIFORMISTI ITALIANI,8223.0,34002523.0,0.02
2013,INDIPENDENZA PER LA SARDEGNA,7598.0,34002523.0,0.02
2013,PRI,7143.0,34002523.0,0.02
2013,MERIS,5901.0,34002523.0,0.02
