"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";499;257;378;198;10;"IL POPOLO DELLA LIBERTA'";47,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";499;257;378;198;10;"VALLEE D'AOSTE";186,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";499;257;378;198;10;"AUT.LIB. DEMOCRATIE";94,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";499;257;378;198;10;"LEGA NORD";20,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHAMBAVE";748;378;646;334;24;"AZ.SOCIALE MUSSOLINI";3,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHAMBAVE";748;378;646;334;24;"IL POPOLO DELLA LIBERTA'";58,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHAMBAVE";748;378;646;334;24;"VALLEE D'AOSTE";232,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHAMBAVE";748;378;646;334;24;"AUT.LIB. DEMOCRATIE";295,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHAMBAVE";748;378;646;334;24;"LEGA NORD";14,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHAMOIS";79;42;65;35;5;"AZ.SOCIALE MUSSOLINI";0,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHAMOIS";79;42;65;35;5;"IL POPOLO DELLA LIBERTA'";3,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
