"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"FIAMMA TRICOLORE";0,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"VALLEE D'AOSTE";112,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"ALTERNATIVA SOCIALE MUSSOLINI";2,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"UNIONE DI CENTRO";3,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"FI-AN";8,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"PARTITO PENSIONATI";3,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"LEGA NORD V.D'AOSTE";1,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"ALLEIN";214;110;177;97;7;"AUT.LIB. DEMOCRATIE";36,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"FIAMMA TRICOLORE";2,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"VALLEE D'AOSTE";137,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"ALTERNATIVA SOCIALE MUSSOLINI";7,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"UNIONE DI CENTRO";6,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"FI-AN";54,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"PARTITO PENSIONATI";13,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"LEGA NORD V.D'AOSTE";12,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"ANTEY-SAINT-ANDRE'";486;246;420;211;14;"AUT.LIB. DEMOCRATIE";161,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"FIAMMA TRICOLORE";126,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"VALLEE D'AOSTE";5510,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"ALTERNATIVA SOCIALE MUSSOLINI";524,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"UNIONE DI CENTRO";805,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"FI-AN";4421,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"PARTITO PENSIONATI";403,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"LEGA NORD V.D'AOSTE";341,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"AOSTA";28339;13187;23128;11037;535;"AUT.LIB. DEMOCRATIE";9690,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"ARNAD";1080;518;896;436;30;"FIAMMA TRICOLORE";5,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"ARNAD";1080;518;896;436;30;"VALLEE D'AOSTE";385,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"ARNAD";1080;518;896;436;30;"ALTERNATIVA SOCIALE MUSSOLINI";19,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"ARNAD";1080;518;896;436;30;"UNIONE DI CENTRO";15,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"ARNAD";1080;518;896;436;30;"FI-AN";60,00;"";"LATTANZI";"Massimo";"M"
