"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTOR_IMASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"PIEMONTE";"ALESSANDRIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";382966;181242;"322074";"157626";"244636";33809;"29305"
"MARCHE";"ANCONA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";364205;173812;"315461";"153695";"247649";30004;"26498"
"TOSCANA";"AREZZO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";259582;125659;"229224";"113604";"175764";24481;"22693"
"MARCHE";"ASCOLI PICENO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";299056;145244;"252892";"124954";"184188";27956;"27284"
"PIEMONTE";"ASTI";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";176637;84648;"143703";"71026";"102769";16902;"15761"
"CAMPANIA";"AVELLINO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";376530;185081;"262694";"130983";"190272";32065;"30714"
"PUGLIA";"BARI";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";1172142;568205;"871695";"437487";"666400";94758;"67255"
"VENETO";"BELLUNO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";189950;90481;"138049";"67279";"113777";13288;"7672"
"CAMPANIA";"BENEVENTO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";249564;121708;"179912";"89991";"124880";23445;"22899"
"LOMBARDIA";"BERGAMO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";735112;355745;"654870";"318640";"515803";77340;"47777"
"EMILIA-ROMAGNA";"BOLOGNA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";785629;373209;"710047";"342100";"597871";54971;"43034"
"LOMBARDIA";"BRESCIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";830557;398861;"735258";"356645";"571345";85002;"62953"
"PUGLIA";"BRINDISI";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";314623;150992;"247133";"119895";"181597";28039;"24007"
"MOLISE";"CAMPOBASSO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";217087;106330;"149993";"74517";"110710";17492;"15263"
"CAMPANIA";"CASERTA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";610862;295788;"450080";"225685";"315211";53939;"58863"
"CALABRIA";"CATANZARO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";595983;292341;"392232";"197253";"278612";43003;"49326"
"ABRUZZO";"CHIETI";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";333708;162408;"254899";"126174";"193032";27746;"22763"
"LOMBARDIA";"COMO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";638075;304190;"547187";"264250";"424186";63517;"41917"
"CALABRIA";"COSENZA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";597108;293551;"416196";"208570";"286312";45207;"37508"
"LOMBARDIA";"CREMONA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";272196;129222;"243426";"117159";"187096";26982;"23265"
"PIEMONTE";"CUNEO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";449193;218862;"374912";"188113";"267421";43918;"42389"
"EMILIA-ROMAGNA";"FERRARA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";310149;146765;"288300";"137652";"238394";23397;"20538"
"TOSCANA";"FIRENZE";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";991803;473303;"838102";"408485";"672388";79241;"62254"
"PUGLIA";"FOGGIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";537660;262291;"403376";"200504";"307434";41639;"33259"
"EMILIA-ROMAGNA";"FORLI' ";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";499020;240550;"452123";"220973";"367431";40098;"30543"
"LAZIO";"FROSINONE";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";405389;198730;"322748";"160193";"230426";39284;"34487"
"LIGURIA";"GENOVA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";821007;384588;"674463";"302116";"518340";62814;"43349"
"TOSCANA";"GROSSETO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";184771;89084;"160216";"78640";"128028";15660;"11743"
