"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"PIEMONTE";"Alessandria";"6";"Autorizzazione al commercio";374646;181112;"238084";"118567";"78857";130656;"24152"
"PIEMONTE";"Alessandria";"4";"Soggiorno cautelare";374646;181112;"238190";"118773";"145729";64605;"23758"
"PIEMONTE";"Alessandria";"3";"Contrattazione pubblico impiego";374646;181112;"237769";"118346";"130034";77290;"25974"
"PIEMONTE";"Alessandria";"2";"Rappresentanze sindacali (richiesta minimale)";374646;181112;"237268";"118285";"125329";83181;"24588"
"PIEMONTE";"Alessandria";"1";"Rappresentanze sindacali (richiesta massimale)";374646;181112;"237678";"118416";"106550";103755;"23115"
"PIEMONTE";"Alessandria";"7";"Trattenute contributi sindacali";374646;181112;"238185";"118689";"123346";89787;"21441"
"MARCHE";"Ancona";"5";"Privatizzazione RAI";380657;181762;"241087";"119977";"117593";100859;"19287"
"MARCHE";"Ancona";"D";"Interruzioni pubblicitarie";380657;181762;"244073";"121520";"126593";107898;"7397"
"MARCHE";"Ancona";"1";"Rappresentanze sindacali (richiesta massimale)";380657;181762;"240237";"119621";"93743";120505;"21860"
"MARCHE";"Ancona";"2";"Rappresentanze sindacali (richiesta minimale)";380657;181762;"240047";"119471";"129918";82249;"23906"
"MARCHE";"Ancona";"3";"Contrattazione pubblico impiego";380657;181762;"240046";"119468";"135263";76241;"24650"
"MARCHE";"Ancona";"4";"Soggiorno cautelare";380657;181762;"240319";"119538";"135710";73654;"26793"
"MARCHE";"Ancona";"8";"Legge elettorale comuni";380657;181762;"241003";"119949";"93256";120951;"23125"
"MARCHE";"Ancona";"A";"Concessioni televisive nazionali";380657;181762;"244183";"121564";"124037";109807;"7645"
"MARCHE";"Ancona";"6";"Autorizzazione al commercio";380657;181762;"240546";"119645";"70385";144220;"22252"
"MARCHE";"Ancona";"9";"Orari esercizi commerciali";380657;181762;"240893";"119806";"75868";143119;"18721"
"MARCHE";"Ancona";"E";"Raccolta pubblicita' radiotelevisiva";380657;181762;"244008";"121463";"125876";107467;"8284"
"MARCHE";"Ancona";"7";"Trattenute contributi sindacali";380657;181762;"240757";"119856";"108592";107633;"21182"
"VALLE D'AOSTA";"Aosta";"3";"Contrattazione pubblico impiego";100974;49606;"55630";"28177";"27082";19313;"7944"
"VALLE D'AOSTA";"Aosta";"E";"Raccolta pubblicita' radiotelevisiva";100974;49606;"56861";"28819";"23094";30085;"3028"
"VALLE D'AOSTA";"Aosta";"A";"Concessioni televisive nazionali";100974;49606;"56929";"28848";"22732";30836;"2666"
"VALLE D'AOSTA";"Aosta";"9";"Orari esercizi commerciali";100974;49606;"55915";"28313";"24705";24399;"5862"
"VALLE D'AOSTA";"Aosta";"8";"Legge elettorale comuni";100974;49606;"55750";"28275";"23995";22254;"8304"
"VALLE D'AOSTA";"Aosta";"7";"Trattenute contributi sindacali";100974;49606;"55950";"28347";"28510";19826;"6550"
"VALLE D'AOSTA";"Aosta";"D";"Interruzioni pubblicitarie";100974;49606;"56919";"28846";"24001";29719;"2563"
"VALLE D'AOSTA";"Aosta";"6";"Autorizzazione al commercio";100974;49606;"55790";"28214";"20774";27230;"6736"
"VALLE D'AOSTA";"Aosta";"4";"Soggiorno cautelare";100974;49606;"56006";"28357";"35430";13481;"5970"
"VALLE D'AOSTA";"Aosta";"2";"Rappresentanze sindacali (richiesta minimale)";100974;49606;"55672";"28201";"26375";20340;"7742"
"VALLE D'AOSTA";"Aosta";"1";"Rappresentanze sindacali (richiesta massimale)";100974;49606;"55767";"28221";"24470";22971;"6945"
"VALLE D'AOSTA";"Aosta";"5";"Privatizzazione RAI";100974;49606;"56053";"28391";"29645";19308;"6055"
"TOSCANA";"Arezzo";"A";"Concessioni televisive nazionali";269398;130028;"169628";"86238";"85065";77769;"5137"
"TOSCANA";"Arezzo";"E";"Raccolta pubblicita' radiotelevisiva";269398;130028;"169484";"86054";"85287";76846;"5769"
"TOSCANA";"Arezzo";"D";"Interruzioni pubblicitarie";269398;130028;"169706";"86215";"86989";75895;"5339"
"TOSCANA";"Arezzo";"7";"Trattenute contributi sindacali";269398;130028;"160779";"81574";"74161";75955;"14816"
"TOSCANA";"Arezzo";"8";"Legge elettorale comuni";269398;130028;"167109";"84935";"63215";84675;"16942"
