"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"SICILIA";"AGRIGENTO";"1";"Rimborso spese per consultazioni elettorali e referendarie";452226;222600;"91323";"48940";"10621";"58874";16343
"SICILIA";"AGRIGENTO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";452226;222600;"91439";"49004";"11092";"62011";12764
"SICILIA";"AGRIGENTO";"4";"Ordinamento giudiziario";452226;222600;"91267";"48910";"13030";"57202";15530
"SICILIA";"AGRIGENTO";"5";"Incarichi extragiudiziari dei magistrati";452226;222600;"91295";"48916";"12187";"59624";14309
"SICILIA";"AGRIGENTO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";452226;222600;"91264";"48919";"11768";"53855";20256
"SICILIA";"AGRIGENTO";"6";"Licenziamenti";452226;222600;"91256";"48891";"9684";"32106";45405
"SICILIA";"AGRIGENTO";"3";"Elezione del Consiglio Superiore della Magistratura";452226;222600;"91210";"48876";"13469";"55657";15826
"PIEMONTE";"ALESSANDRIA";"6";"Licenziamenti";375877;178669;"135454";"68893";"6629";"37379";88955
"PIEMONTE";"ALESSANDRIA";"1";"Rimborso spese per consultazioni elettorali e referendarie";375877;178669;"133972";"68088";"12487";"82319";35381
"PIEMONTE";"ALESSANDRIA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";375877;178669;"134479";"68357";"11232";"66926";53080
"PIEMONTE";"ALESSANDRIA";"5";"Incarichi extragiudiziari dei magistrati";375877;178669;"133304";"67793";"16076";"83357";29606
"PIEMONTE";"ALESSANDRIA";"4";"Ordinamento giudiziario";375877;178669;"133051";"67575";"17532";"75428";35570
"PIEMONTE";"ALESSANDRIA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";375877;178669;"134750";"68539";"12750";"92554";25111
"PIEMONTE";"ALESSANDRIA";"3";"Elezione del Consiglio Superiore della Magistratura";375877;178669;"132771";"67450";"20458";"73073";34296
"MARCHE";"ANCONA";"6";"Licenziamenti";382975;182991;"153388";"77938";"8106";"42293";100318
"MARCHE";"ANCONA";"1";"Rimborso spese per consultazioni elettorali e referendarie";382975;182991;"151649";"77118";"12915";"90634";44728
"MARCHE";"ANCONA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";382975;182991;"153075";"77867";"12338";"114607";22408
"MARCHE";"ANCONA";"3";"Elezione del Consiglio Superiore della Magistratura";382975;182991;"149981";"76185";"21742";"81019";42676
"MARCHE";"ANCONA";"4";"Ordinamento giudiziario";382975;182991;"150441";"76373";"18492";"83134";44675
"MARCHE";"ANCONA";"5";"Incarichi extragiudiziari dei magistrati";382975;182991;"150678";"76533";"16662";"93159";37138
"MARCHE";"ANCONA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";382975;182991;"151944";"77216";"13363";"75924";59476
"VALLE D'AOSTA";"AOSTA";"5";"Incarichi extragiudiziari dei magistrati";102499;50079;"33612";"17220";"3777";"24431";4528
"VALLE D'AOSTA";"AOSTA";"4";"Ordinamento giudiziario";102499;50079;"33516";"17175";"4359";"22001";6255
"VALLE D'AOSTA";"AOSTA";"3";"Elezione del Consiglio Superiore della Magistratura";102499;50079;"33427";"17130";"5088";"21966";5306
"VALLE D'AOSTA";"AOSTA";"6";"Licenziamenti";102499;50079;"34107";"17473";"2133";"12693";18678
"VALLE D'AOSTA";"AOSTA";"1";"Rimborso spese per consultazioni elettorali e referendarie";102499;50079;"33913";"17383";"2803";"24197";6128
"VALLE D'AOSTA";"AOSTA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";102499;50079;"34024";"17474";"3410";"25001";4707
"VALLE D'AOSTA";"AOSTA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";102499;50079;"33930";"17383";"2923";"19977";10290
"TOSCANA";"AREZZO";"3";"Elezione del Consiglio Superiore della Magistratura";271583;130890;"103911";"52906";"17850";"52698";30328
"TOSCANA";"AREZZO";"4";"Ordinamento giudiziario";271583;130890;"104162";"53065";"15258";"53670";32477
"TOSCANA";"AREZZO";"5";"Incarichi extragiudiziari dei magistrati";271583;130890;"104289";"53135";"14244";"59683";27795
"TOSCANA";"AREZZO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";271583;130890;"105138";"53613";"11241";"50481";41265
"TOSCANA";"AREZZO";"6";"Licenziamenti";271583;130890;"106372";"54255";"6531";"31020";67039
"TOSCANA";"AREZZO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";271583;130890;"106701";"54543";"8752";"81031";14398
"TOSCANA";"AREZZO";"1";"Rimborso spese per consultazioni elettorali e referendarie";271583;130890;"105077";"53614";"10995";"58514";33236
"MARCHE";"ASCOLI PICENO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";314577;151908;"112235";"57986";"11654";"66896";30226
"MARCHE";"ASCOLI PICENO";"4";"Ordinamento giudiziario";314577;151908;"111761";"57658";"14172";"69494";24169
"MARCHE";"ASCOLI PICENO";"6";"Licenziamenti";314577;151908;"112844";"58329";"7648";"40965";61430
"MARCHE";"ASCOLI PICENO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";314577;151908;"113069";"58500";"10565";"83637";15453
"MARCHE";"ASCOLI PICENO";"5";"Incarichi extragiudiziari dei magistrati";314577;151908;"111999";"57838";"12870";"75407";20006
"MARCHE";"ASCOLI PICENO";"3";"Elezione del Consiglio Superiore della Magistratura";314577;151908;"111767";"57706";"16143";"68894";22389
"MARCHE";"ASCOLI PICENO";"1";"Rimborso spese per consultazioni elettorali e referendarie";314577;151908;"112534";"58190";"10339";"74884";24069
"PIEMONTE";"ASTI";"3";"Elezione del Consiglio Superiore della Magistratura";180119;86320;"56561";"28881";"8408";"32328";13323
